lga_code, lga_name
22250,"GANNAWARRA"
21610,"CASEY"
21750,"COLAC OTWAY"
23940,"LODDON"
22410,"GLENELG"
25490,"MOYNE"
21830,"CORANGAMITE"
27630,"YARRIAMBIACK"
25250,"MORELAND"
22980,"HINDMARSH"
23190,"HORSHAM"
26980,"WHITEHORSE"
24600,"MELBOURNE"
20830,"BAW BAW"
27170,"WODONGA"
23350,"INDIGO"
20660,"BANYULE"
26260,"SOUTHERN GRAMPIANS"
21110,"BOROONDARA"
21180,"BRIMBANK"
21670,"CENTRAL GOLDFIELDS"
21890,"DAREBIN"
22110,"EAST GIPPSLAND"
22170,"FRANKSTON"
22310,"GLEN EIRA"
22620,"GREATER BENDIGO"
22670,"GREATER DANDENONG"
22830,"GREATER SHEPPARTON"
24410,"MAROONDAH"
22910,"HEPBURN"
27260,"WYNDHAM"
23270,"HUME"
23110,"HOBSONS BAY"
23430,"KINGSTON"
26490,"SURF COAST"
24250,"MANSFIELD"
24130,"MACEDON RANGES"
26430,"STRATHBOGIE"
24330,"MARIBYRNONG"
26890,"WEST WIMMERA"
24970,"MONASH"
25430,"MOUNT ALEXANDER"
25710,"NILLUMBIK"
25900,"PORT PHILLIP"
26350,"STONNINGTON"
26610,"SWAN HILL"
26170,"SOUTH GIPPSLAND"
26080,"QUEENSCLIFFE"
26730,"WARRNAMBOOL"
24210,"MANNINGHAM"
27070,"WHITTLESEA"
21370,"CAMPASPE"
27350,"YARRA"
20910,"BAYSIDE"
21450,"CARDINIA"
24650,"MELTON"
26700,"WANGARATTA"
20110,"ALPINE"
21010,"BENALLA"
26810,"WELLINGTON"
26670,"TOWONG"
25060,"MOONEE VALLEY"
23810,"LATROBE"
25340,"MORNINGTON PENINSULA"
20740,"BASS COAST"
25150,"MOORABOOL"
22750,"GREATER GEELONG"
20260,"ARARAT"
25810,"NORTHERN GRAMPIANS"
20570,"BALLARAT"
21270,"BULOKE"
22490,"GOLDEN PLAINS"
25990,"PYRENEES"
24850,"MITCHELL"
25620,"MURRINDINDI"
23670,"KNOX"
27450,"YARRA RANGES"
24900,"MOIRA"
24780,"MILDURA"
